"id","rank","rankUpDown","title","fullTitle","year","image","crew","imDbRating","imDbRatingCount"
"tt9614452","66","+11","The Big Bull","The Big Bull (2021)","2021","https://m.media-amazon.com/images/M/MV5BZjJlYzI1Y2YtZGJkZi00YzRkLWFlNjQtNTViM2Q2NTY5OGQ3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY176_CR0,0,128,176_AL_.jpg","Kookie Gulati (dir.), Abhishek Bachchan, Nikita Dutta","5.0","9130"
"tt6878306","67","-6","News of the World","News of the World (2020)","2020","https://m.media-amazon.com/images/M/MV5BMDNlNmVlNDItMjE3Yi00ZTA3LWIyOTktNDhhMGFlZjk5ZDQ0XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Paul Greengrass (dir.), Tom Hanks, Helena Zengel","6.8","58522"
"tt0831387","68","-43","Godzilla","Godzilla (2014)","2014","https://m.media-amazon.com/images/M/MV5BZDFmYTM4NzAtNWM0ZC00MGJlLWEyYzQtYzA3ZTFiNzc1YjllXkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_UX128_CR0,3,128,176_AL_.jpg","Gareth Edwards (dir.), Aaron Taylor-Johnson, Elizabeth Olsen","6.4","389023"
"tt0250494","69","+6","Legally Blonde","Legally Blonde (2001)","2001","https://m.media-amazon.com/images/M/MV5BNTEyNjUwMTkxMV5BMl5BanBnXkFtZTcwNjk0NDk0NA@@._V1_UX128_CR0,3,128,176_AL_.jpg","Robert Luketic (dir.), Reese Witherspoon, Luke Wilson","6.3","189930"
"tt0468569","70","-14","The Dark Knight","The Dark Knight (2008)","2008","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_UX128_CR0,3,128,176_AL_.jpg","Christopher Nolan (dir.), Christian Bale, Heath Ledger","9.0","2343265"
"tt13269536","71","-23","Girl in the Basement","Girl in the Basement (2021)","2021","https://m.media-amazon.com/images/M/MV5BMTdkYWE4ZGQtOGZkMy00ZTg1LWE5ODEtZWRlMjQ3NWQ2N2I2XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX128_CR0,3,128,176_AL_.jpg","Elisabeth R<U+00F6>hm (dir.), Judd Nelson, Stefanie Scott","6.3","2637"
"tt0114898","72","+4","Waterworld","Waterworld (1995)","1995","https://m.media-amazon.com/images/M/MV5BYzE4NTRmMDYtNWYzYi00YmNkLTk4NDEtYjFmMDc4ODQ3ODY2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX128_CR0,3,128,176_AL_.jpg","Kevin Reynolds (dir.), Kevin Costner, Jeanne Tripplehorn","6.3","183225"
"tt10059518","73","-24","Unhinged","Unhinged (2020)","2020","https://m.media-amazon.com/images/M/MV5BYjc1Mjg5NjItY2I2MS00NDk3LWI5NGYtNzZjNTNiZmMwZTA3XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_UX128_CR0,3,128,176_AL_.jpg","Derrick Borte (dir.), Russell Crowe, Caren Pistorius","6.0","44287"
"tt14318430","74","9,314","Why Did You Kill Me?","Why Did You Kill Me? (2021)","2021","https://m.media-amazon.com/images/M/MV5BMTA5ZTdiYmYtZTZlNy00MGZkLWE0NjItNjk3MWUyOTE0NzYzXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UX128_CR0,1,128,176_AL_.jpg","Fredrick Munk (dir.), Belinda Lane","5.7","2024"
"tt14152756","75","-37","Seaspiracy","Seaspiracy (2021)","2021","https://m.media-amazon.com/images/M/MV5BZjA0MmZlNTctMzQyNS00MDQyLWFkNGItZDRiMGMxYzg2MDIyXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY176_CR0,0,128,176_AL_.jpg","Ali Tabrizi (dir.), Ali Tabrizi, Richard O'Barry","8.3","18149"
"tt0241527","76","-24","Harry Potter and the Sorcerer's Stone","Harry Potter and the Sorcerer's Stone (2001)","2001","https://m.media-amazon.com/images/M/MV5BNjQ3NWNlNmQtMTE5ZS00MDdmLTlkZjUtZTBlM2UxMGFiMTU3XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX128_CR0,3,128,176_AL_.jpg","Chris Columbus (dir.), Daniel Radcliffe, Rupert Grint","7.6","670536"
"tt0120338","77","+31","Titanic","Titanic (1997)","1997","https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX128_CR0,3,128,176_AL_.jpg","James Cameron (dir.), Leonardo DiCaprio, Kate Winslet","7.8","1061039"
"tt9684220","78","-47","Bad Trip","Bad Trip (2021)","2021","https://m.media-amazon.com/images/M/MV5BNDgzMTgxOTktNmM2Ny00Nzk5LTgxNjAtNzJlNjBjNjMyOWZkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX128_CR0,3,128,176_AL_.jpg","Kitao Sakurai (dir.), Eric Andr¨¦, Michaela Conlin","6.6","15564"
"tt8946378","79","-21","Knives Out","Knives Out (2019)","2019","https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_UX128_CR0,3,128,176_AL_.jpg","Rian Johnson (dir.), Daniel Craig, Chris Evans","7.9","482069"
